SQL Query,Eng1 (Moustafa),Eng2 (Sanjay),Eng3 (Abhi),Eng4 (Ronny)
SELECT account_no FROM mock_time_machine WHERE acct_open_days LT 200,what are the account numbers from mock time machine with open account days below 200 days?,,,
SELECT account_no FROM mock_time_machine WHERE acct_open_days GT 150 AND segment_high EQL TRUE AND wkdy_split GT .5,"what are the account ids from mock time machine with open account days over 150, have segment high and weekend to weekday ratio split is bigger than half?",,,
SELECT account_no FROM mock_time_machine WHERE age GT 30 AND age LT 40,what are the account numbers from time machine with users between the age of 30 & 40?,,,
SELECT account_no FROM mock_time_machine WHERE annual_income GT 90000 AND annual_income LT 150000 AND wkdy_split LT .8,what user ids have annual income between 90000 and 150000 and have a weekend to weekday spending ration over 8/10,,,
SELECT account_no FROM mock_time_machine WHERE avg_accomodation_food_service GT 10,what are the users numbers for from mock time machine with average spending on accomodation and food services over 10?,,,
SELECT account_no FROM mock_time_machine WHERE avg_data_processing GT 5,give me the user ids from mock time machine with avg spending on data processing over 5,,,
SELECT account_no FROM mock_time_machine WHERE avg_gasoline EQL 0,which users on mock time machine have avg spending on gasoline = 0?,,,
SELECT account_no FROM mock_time_machine WHERE avg_information GT 7 AND consumer_business EQL B,which users from the mock time machine table have avg_information bigger than 7 and the transaction is on business card,,,
SELECT account_no FROM mock_time_machine WHERE avg_oil_gas GT 16,what users from mock time machine spend over 16 on average oil & gas,,,
SELECT account_no FROM mock_time_machine WHERE consumer_business EQL B AND annual_income GT 110000 AND annual_income LT 250000,what business card users on mock time machine have an annual income between 110000 & 250000,,,
SELECT account_no FROM mock_time_machine WHERE flag_credit EQL 0,which users from time machine dont have a flag credit?,,,
SELECT account_no FROM mock_time_machine WHERE gender EQL f AND wkdy_split GT .5,select the user ids from mock time machine who are females and have a weekend to weekday spend ration bigger than 0.5,,,
SELECT account_no FROM mock_time_machine WHERE gender EQL m AND avg_accommodation GT 60,who are the users on mock time machine are males and have an average spending on accomodation over 60,,,
SELECT account_no FROM mock_time_machine WHERE segment_high EQL TRUE,show account numbers from mock time machine who have high segment?,,,
